state,year,quarter,DebtValue,Median_H_Inc,mean_AGI,MinWage,HPI,Delinquency_pct,Mean_Mpct,Med_Mpct,mean_CPI,ForeclosureRate,DTI_ratio,time
FL,2007,2,51.88016657343526,67315,60541,5.91,293.09000000000003,2.93180388163412,4.52233091945892,4.1465638159128435,214.45850000000002,0.13,2.143191104712848,2007-04-01
FL,2007,3,53.69770916334661,66932.5,59279,6.29,290.97,3.5597811268258757,6.316629763786698,5.832264432602559,215.792,0.19,2.1027150327069437,2007-07-01
FL,2007,4,54.9170504005551,66550,58017,6.67,288.85,4.663027796921663,8.110928608114476,7.517965049292273,217.825,0.25,2.0887457945073975,2007-10-01
FL,2008,1,56.782797345584484,65635,57476.75,6.7,277.6125,7.412207326665918,9.905227452442253,9.203665665981987,220.81799999999998,0.33,2.0110668287032265,2008-01-01
FL,2008,2,56.55525327114911,64720,56936.5,6.73,266.375,8.20772271217501,11.906200883957464,11.448124454378227,224.80200000000002,0.37,2.0099015739757533,2008-04-01
FL,2008,3,57.03318152244632,63805,56396.25,6.76,255.13750000000002,9.488434177503994,13.907174315472677,13.692583242774468,227.17200000000003,0.42,1.9837040825700973,2008-07-01
FL,2008,4,56.627831715210355,62890,55856,6.79,243.9,12.360252143102068,15.908147746987888,15.937042031170709,220.94650000000001,0.49,1.9882996244707298,2008-10-01
FL,2009,1,55.98988720342279,63225,54665.25,6.895,233.08,14.60953525529698,17.9091211785031,18.18150081956695,221.6095,0.5,2.065703126566285,2009-01-01
FL,2009,2,55.36320877972302,63560,53474.5,7,222.26,15.93279221238938,18.229731507307214,18.35878044202819,222.534,0.52,2.146920202447554,2009-04-01
FL,2009,3,53.85722698423085,63895,52283.75,7.105,211.44,16.122974122220874,18.55034183611133,18.53606006448943,224.2435,0.42,2.269113170294973,2009-07-01
FL,2009,4,52.33163996352742,64230,51093,7.21,200.62,16.66647367766024,18.870952164915447,18.71333968695067,224.738,0.42,2.4022166540848295,2009-10-01
FL,2010,1,52.45614035087719,63470,51056.25,7.22,195.6575,18.150076551467855,19.191562493719562,18.89061930941191,225.4925,0.43,2.3698630641740066,2010-01-01
FL,2010,2,50.542767460109864,62710,51019.5,7.23,190.695,17.36057044895847,18.67310824456203,18.420549100985944,225.509,0.38,2.431876884510369,2010-04-01
FL,2010,3,49.37770208306039,61950,50982.75,7.24,185.73250000000002,16.501219288936056,18.154653995404498,17.950478892559975,226.70749999999998,0.34,2.46086153568564,2010-07-01
FL,2010,4,48.163027279206894,61190,50946,7.25,180.77,16.603898560473564,17.636199746246966,17.480408684134005,227.719,0.3,2.4937710866123957,2010-10-01
FL,2011,1,47.91696169938848,61077.5,51388.25,7.25,177.4675,16.088279665229248,17.117745497089434,17.01033847570804,231.3165,0.25,2.4804367170816954,2011-01-01
FL,2011,2,47.59917435335097,60965,51830.5,7.25,174.16500000000002,15.796134863740463,16.52406723640734,16.47275385678103,234.2725,0.171,2.471130950030217,2011-04-01
FL,2011,3,47.392205101644436,60852.5,52272.75,7.25,170.8625,15.39733272314964,15.930388975725243,15.93516923785402,235.737,0.149,2.4563834368259103,2011-07-01
FL,2011,4,46.79412525879917,60740,52715,7.25,167.56,15.119856204631871,15.33671071504315,15.39758461892701,234.98450000000003,0.188,2.4623469360689993,2011-10-01
FL,2012,1,46.223211980376966,60772.5,54655.25,7.355,167.1325,14.68974570235585,14.743032454361055,14.86,238.139,0.199,2.4055539228613307,2012-01-01
FL,2012,2,45.44,60805,56595.5,7.46,166.70499999999998,14.08,13.870399340770792,13.931249999999999,238.2185,0.194,2.364389755767424,2012-04-01
FL,2012,3,45.5,60837.5,58535.75,7.5649999999999995,166.2775,13.62,12.997766227180527,13.0025,240.41500000000002,0.155,2.2842244476032376,2012-07-01
FL,2012,4,44.43,60870,60476,7.67,165.85,12.61,12.125133113590264,12.07375,239.111,0.15,2.265394960948789,2012-10-01
FL,2013,1,43.2,61490,60052.75,7.7,168.9325,12.69,11.252500000000001,11.145,242.0005,0.12,2.370215568195677,2013-01-01
FL,2013,2,42.41,62110,59629.5,7.73,172.015,11.7,10.258750000000001,10.105,241.65699999999998,0.14,2.4560210743611712,2013-04-01
